,0
0,9
1,2
2,1
3,0
4,0
5,0
6,3
7,7
8,0
9,0
10,2
11,0
12,7
13,0
14,0
15,7
16,8
17,9
18,0
19,0
20,8
21,0
22,1
23,5
24,1
25,0
26,4
27,0
28,1
29,0
30,3
31,0
32,0
33,0
34,3
35,0
36,0
37,0
38,3
39,5
40,7
41,8
42,0
43,9
44,8
45,8
46,0
47,8
48,7
49,0
50,0
51,2
52,0
53,7
54,0
55,0
56,0
57,0
58,3
59,0
60,0
61,7
62,0
63,0
64,8
65,0
66,6
67,0
68,0
69,0
70,2
71,0
72,0
73,0
74,0
75,8
76,0
77,0
78,0
79,9
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,9
88,0
89,0
90,0
91,0
92,9
93,7
94,5
95,0
96,0
97,7
98,9
99,0
100,0
101,8
102,6
103,0
104,0
105,0
106,0
107,0
108,3
109,0
110,0
111,7
112,0
113,0
114,0
115,5
116,3
117,8
118,0
119,0
120,8
121,0
122,8
123,3
124,1
125,0
126,1
127,1
128,0
129,0
130,8
131,3
132,0
133,7
134,3
135,0
136,0
137,0
138,0
139,0
140,8
141,5
142,0
143,5
144,0
145,0
146,0
147,0
148,8
149,4
150,2
151,0
152,0
153,0
154,0
155,8
156,8
157,0
158,7
159,3
160,1
161,0
162,0
163,0
164,0
165,9
166,8
167,7
168,0
169,0
170,3
171,0
172,0
173,1
174,0
175,2
176,0
177,0
178,4
179,8
180,8
181,8
182,8
183,0
184,0
185,1
186,0
187,0
188,1
189,8
190,3
191,4
192,0
193,0
194,0
195,0
196,0
197,1
198,7
199,0
200,0
201,0
202,0
203,0
204,3
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,4
217,0
218,0
219,0
220,0
221,1
222,0
223,7
224,3
225,0
226,0
227,0
228,0
229,3
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,3
243,0
244,0
245,8
246,0
247,0
248,8
249,0
250,0
251,8
252,0
253,7
254,9
255,6
256,8
257,0
258,0
259,7
260,0
261,0
262,8
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,4
271,0
272,0
273,1
274,0
275,2
276,0
277,0
278,3
279,0
280,0
281,0
282,5
283,0
284,0
285,3
286,7
287,3
288,2
289,0
290,0
291,0
292,6
293,9
294,0
295,0
296,0
297,0
298,0
299,4
300,8
301,4
302,1
303,0
304,0
305,0
306,0
307,2
308,3
309,8
310,0
311,1
312,0
313,7
314,0
315,9
316,0
317,3
318,0
319,1
320,0
321,0
322,0
323,5
324,1
325,8
326,0
327,1
328,3
329,0
330,0
331,0
332,0
333,9
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,2
343,6
344,4
345,0
346,0
347,3
348,0
349,3
350,0
351,0
352,0
353,0
354,0
355,3
356,0
357,0
358,0
359,1
360,0
361,7
362,0
363,0
364,0
365,9
366,7
367,7
368,0
369,0
370,0
371,9
372,5
373,0
374,0
375,0
376,3
377,8
378,8
379,3
380,0
381,0
382,5
383,2
384,0
385,0
386,7
387,0
388,2
389,0
390,0
391,0
392,0
393,2
394,0
395,1
396,0
397,5
398,0
399,0
400,0
401,0
402,3
403,0
404,5
405,0
406,0
407,0
408,8
409,8
410,0
411,9
412,3
413,0
414,2
415,0
416,0
417,4
418,0
419,0
420,8
421,0
422,0
423,3
424,0
425,5
426,0
427,1
428,3
429,0
430,0
431,2
432,2
433,0
434,0
435,9
436,0
437,2
438,2
439,0
440,0
441,7
442,1
443,3
444,0
445,0
446,0
447,3
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,5
459,0
460,0
461,0
462,0
463,1
464,0
465,8
466,4
467,4
468,0
469,8
470,0
471,0
472,0
473,0
474,0
475,0
476,9
477,0
478,0
479,9
480,0
481,7
482,3
483,4
484,0
485,0
486,0
487,8
488,8
489,1
490,0
491,8
492,0
493,0
494,0
495,8
496,0
497,0
498,0
499,7
500,0
501,0
502,0
503,0
504,0
505,3
506,0
507,0
508,7
509,0
510,2
511,6
512,0
513,0
514,0
515,3
516,0
517,1
518,3
519,0
520,3
521,0
522,3
523,8
524,0
525,6
526,3
527,0
